SampleName	Run	PangoLineage
Shands-VTM-242	R01-NS2208	B.1.243
Shands-VTM-243	R01-NS2208	B.1.234
Shands-VTM-244	R01-NS2208	B.1.2
Shands-VTM-245	R01-NS2208	B.1.349
Shands-VTM-246	R01-NS2208	B.1.2
Shands-VTM-247	R01-NS2208	B.1.240
Shands-VTM-249	R01-NS2208	B.1.234
Shands-VTM-250	R01-NS2208	B.1.2
Shands-VTM-251	R01-NS2208	B.1.596
Shands-VTM-252	R01-NS2208	B.1.2
Shands-VTM-253	R01-NS2208	B.1.234
Shands-VTM-254	R01-NS2208	B.1.234
Shands-VTM-256	R01-NS2208	B.1.2
Shands-VTM-258	R01-NS2208	B.1.243
Shands-VTM-260	R01-NS2208	B.1.234
Shands-VTM-261	R01-NS2208	B.1.2
Shands-VTM-263	R01-NS2208	B.1.2
Shands-VTM-266	R01-NS2208	B.1.2
Shands-VTM-267	R01-NS2208	B.1.1.432
Shands-VTM-268	R01-NS2208	B.1.1.222
Shands-VTM-269	R01-NS2208	B.1.311
Shands-VTM-270	R01-NS2208	B.1.2
Shands-VTM-271	R01-NS2208	B.1.2
Shands-VTM-272	R01-NS2208	B.1.2
Shands-VTM-273	R01-NS2208	B.1.2
Shands-VTM-274	R01-NS2208	B.1.2
Shands-VTM-275	R01-NS2208	B.1.580
Shands-VTM-276	R01-NS2208	B.1.588
Shands-VTM-277	R01-NS2208	B.1.2
Shands-VTM-278	R01-NS2208	B.1.2
Shands-VTM-279	R01-NS2208	B.1.234
Shands-VTM-280	R01-NS2208	B.1.349
Shands-VTM-281	R01-NS2208	B.1.234
Shands-VTM-282	R01-NS2208	B.1.2
Shands-VTM-283	R01-NS2208	B.1.234
Shands-VTM-284	R01-NS2208	B.1.243
Shands-VTM-285	R01-NS2208	B.1.243
Shands-VTM-286	R01-NS2208	B.1.111
Shands-VTM-287	R01-NS2208	B.1.2
Shands-VTM-288	R01-NS2208	B.1.2
Shands-VTM-289	R01-NS2208	B.1.2
Shands-VTM-290	R01-NS2208	B.1.243
Shands-VTM-291	R01-NS2208	B.1.564
Shands-VTM-293	R01-NS2208	B.1.2
Shands-VTM-294	R01-NS2208	B.1
Shands-VTM-295	R01-NS2208	B.1.2
Shands-VTM-296	R01-NS2208	B.1.234
Shands-VTM-297	R01-NS2208	B.1.1.316
Shands-VTM-298	R01-NS2208	B.1.580
Shands-VTM-299	R01-NS2208	B.1.595
Shands-VTM-300	R01-NS2208	B.1.2
Shands-VTM-301	R01-NS2208	B.1.234
Shands-VTM-302	R01-NS2208	B.1.234
Shands-VTM-304	R01-NS2208	B.1.2
Shands-VTM-306	R01-NS2208	B.1.1.316
Shands-VTM-308	R01-NS2208	B.1.2
Shands-VTM-309	R01-NS2208	B.1.243
Shands-VTM-310	R01-NS2208	B.1.2
Shands-VTM-311	R01-NS2208	B.1.580
Shands-VTM-314	R01-NS2208	B.1.580
Shands-VTM-315	R01-NS2208	B.1.2
Shands-VTM-316	R01-NS2208	B.1.349
Shands-VTM-317	R01-NS2208	B.1.580
Shands-VTM-319	R01-NS2208	B.1.1.222
Shands-VTM-321	R01-NS2208	B.1.2
Shands-VTM-322	R01-NS2208	B.1.234
Shands-VTM-323	R01-NS2208	B.1.580
Shands-VTM-324	R01-NS2208	B.1.564
Shands-VTM-325	R01-NS2208	B.1.243
Shands-VTM-326	R01-NS2208	B.1.2
Shands-VTM-327	R01-NS2208	B.1
Shands-VTM-329	R01-NS2208	B.1.349
Shands-VTM-332	R01-NS2208	B.1.596
Shands-VTM-333	R01-NS2208	B.1.240
Shands-VTM-334	R01-NS2208	B.1.306
Shands-VTM-335	R01-NS2208	B.1.596
Shands-VTM-336	R01-NS2208	B.1.234
Shands-VTM-337	R01-NS2208	B.1.580
Shands-VTM-339	R01-NS2208	B.1.564
Shands-VTM-340	R01-NS2208	B.1.2
Shands-VTM-342	R01-NS2208	B.1.311
Shands-VTM-344	R01-NS2208	B.1.234
Shands-VTM-345	R01-NS2208	B.1.111
Shands-VTM-346	R01-NS2208	B.1.596
Shands-VTM-347	R01-NS2208	B.1.234
Shands-VTM-348	R01-NS2208	B.1.2
Shands-VTM-349	R01-NS2208	B.1.580
Shands-VTM-351	R01-NS2208	B.1
Shands-VTM-352	R01-NS2208	B.1.243
Shands-VTM-353	R01-NS2208	B.1.2
Shands-VTM-354	R01-NS2208	B.1.234
Shands-VTM-356	R01-NS2208	B.1.234
Shands-VTM-357	R01-NS2208	B.1.349
Shands-VTM-358	R01-NS2208	B.1.240
Shands-VTM-359	R01-NS2208	B.1.424
Shands-VTM-360	R01-NS2208	B.1.2
Shands-VTM-361	R01-NS2208	B.1.596
Shands-VTM-362	R01-NS2208	B.1.596
Shands-VTM-363	R01-NS2208	B.1.243
Shands-VTM-364	R01-NS2208	B.1.234
Shands-VTM-365	R01-NS2208	B.1.243
Shands-VTM-366	R01-NS2208	B.1.2
Shands-VTM-367	R01-NS2208	B.1.2
Shands-VTM-368	R01-NS2208	B.1.234
Shands-VTM-369	R01-NS2208	B.1.234
Shands-VTM-370	R01-NS2208	B.1.2
Shands-VTM-371	R01-NS2208	B.1.409
Shands-VTM-372	R01-NS2208	B.1.2
Shands-VTM-373	R01-NS2208	B.1.234
Shands-VTM-374	R01-NS2208	B.1.2
Shands-VTM-375	R01-NS2208	B.1.234
Shands-VTM-376	R01-NS2208	B.1.234
Shands-VTM-377	R01-NS2208	B.1.234
Shands-VTM-378	R01-NS2208	B.1.234
Shands-VTM-379	R01-NS2208	B.1.576
Shands-VTM-380	R01-NS2208	B.1.240
Shands-VTM-383	R01-NS2208	B.1.2
Shands-VTM-385	R01-NS2208	B.1.2
Shands-VTM-387	R01-NS2208	B.1.580
Shands-VTM-388	R01-NS2208	B.1.234
Shands-VTM-389	R01-NS2208	B.1.234
Shands-VTM-390	R01-NS2208	B.1.2
Shands-VTM-392	R01-NS2208	B.1.234
Shands-VTM-393	R01-NS2208	B.1.2
Shands-VTM-395	R01-NS2208	B.1.234
Shands-VTM-397	R01-NS2208	B.1.2
Shands-VTM-398	R01-NS2208	B.1.234
Shands-VTM-399	R01-NS2208	B.1.2
Shands-VTM-400	R01-NS2208	B.1.580
Shands-VTM-402	R01-NS2208	B.1.349
Shands-VTM-403	R01-NS2208	B.1.349
Shands-VTM-406	R01-NS2208	B.1.243
STP-Saliva-413-VAC	R01-NS2208	B.1.429
